          JUICE   C2024 07 05.58600122 15 06.895-11 03 21.35   ~781n 20.98wXNEOCPF51
          JUICE   C2024 07 05.59312722 15 07.115-11 03 18.58   ~781n 21.03wXNEOCPF51
          JUICE   C2024 07 05.60026522 15 07.343-11 03 15.84   ~781n 20.94wXNEOCPF51
          JUICE  KC2024 07 06.32265422 15 59.810-10 59 10.21   ~781n 20.6 GVNEOCPH21
          JUICE  KC2024 07 06.32834222 16 00.029-10 59 08.09   ~781n 20.7 GVNEOCPH21
          JUICE  3C2024 07 06.51640922 16 13.118-10 57 33.80   ~781n 20.29GVNEOCPT14
          JUICE  3C2024 07 06.51738422 16 13.148-10 57 33.49   ~781n 20.27GVNEOCPT14
          JUICE  3C2024 07 06.51836022 16 13.177-10 57 33.16   ~781n 20.27GVNEOCPT14
          JUICE  0C2024 07 06.73730522 16 25.460-10 54 49.84   ~781n 20.2 GVNEOCPQ64
          JUICE  0C2024 07 06.73908822 16 25.524-10 54 49.35   ~781n 20.2 GVNEOCPQ64
          JUICE  0C2024 07 06.74087522 16 25.573-10 54 48.79   ~781n 20.2 GVNEOCPQ64
          JUICE  0C2024 07 06.74266222 16 25.635-10 54 47.76   ~781n 20.3 GVNEOCPQ64
          JUICE  0C2024 07 06.74445922 16 25.717-10 54 47.42   ~781n 20.1 GVNEOCPQ64
          JUICE  0C2024 07 06.74624522 16 25.745-10 54 46.60   ~781n 20.3 GVNEOCPQ64
          JUICE  KC2024 07 13.02284022 22 56.997-10 21 43.77         18.1 G      Z84
          JUICE  KC2024 07 13.02695722 22 57.098-10 21 42.81         18.2 G      Z84
          JUICE  KC2024 08 02.07762922 35 40.535-09 18 05.47         19.7 G      Z84
          JUICE  KC2024 08 02.08706822 35 39.875-09 18 05.38         19.4 G      Z84
          JUICE  KC2024 08 02.09710022 35 39.164-09 18 04.93         19.9 G      Z84
          JUICE  KC2024 08 04.04102122 36 07.534-09 17 57.04         19.7 G      Z84
          JUICE  KC2024 08 04.06046622 36 05.878-09 17 58.26         19.8 G      Z84
          JUICE  KC2024 08 04.08019122 36 04.162-09 17 58.91         19.6 G      Z84
          JUICE  KB2024 08 04.31580 22 36 08.32 -09 18 10.4          19.1 RZ     H36
          JUICE  KB2024 08 04.32318 22 36 07.69 -09 18 10.5          19.2 RZ     H36
          JUICE  KB2024 08 04.33054 22 36 07.02 -09 18 11.5          19.5 RZ     H36
          JUICE  KCK240804:23280637 22 36 18.050-09 19 10.78         19.4 GV     J95
          JUICE  KB2024 08 05.30734 22 36 15.45 -09 18 55.5          19.4 RZ     H36
          JUICE  KB2024 08 05.31807 22 36 14.43 -09 18 56.5          19.1 RZ     H36
          JUICE  KB2024 08 05.32847 22 36 13.41 -09 18 57.1          19.5 RZ     H36
          JUICE  KCK240806:22560267 22 36 25.068-09 21 57.31         19.5 GV     J95
          JUICE  KCK240806:23003128 22 36 24.830-09 21 58.64         19.1 GV     J95
          JUICE  KCK240806:23045741 22 36 24.626-09 21 59.00         19.8 GV     J95
          JUICE  KCK240806:23092838 22 36 24.389-09 21 59.36         19.4 GV     J95
          JUICE  KC2024 08 08.00604922 36 15.59 -09 24 14.5          19.3 G      204
          JUICE  KC2024 08 08.00944622 36 15.19 -09 24 15.2          19.7 G      204
          JUICE   C2024 08 08.36045 22 36 13.85 -09 25 19.1          18.96G      U63
          JUICE   C2024 08 08.36295 22 36 13.58 -09 25 19.1          19.24G      U63
          JUICE   C2024 08 08.36580 22 36 13.26 -09 25 19.4          19.54G      U63
          JUICE   C2024 08 09.97512 22 36 00.07 -09 31 25.5          18.0 RZ     C23
          JUICE   C2024 08 09.98259 22 35 59.19 -09 31 28.6          17.9 RZ     C23
          JUICE   C2024 08 09.99008 22 35 58.20 -09 31 31.4          17.7 RZ     C23
          JUICE  KB2024 08 10.80362922 35 18.43 -09 25 04.3          19.3 VZ     Q20
          JUICE  KB2024 08 10.82187822 35 16.28 -09 25 03.7          18.8 VZ     Q20
          JUICE  KB2024 08 10.83961422 35 14.41 -09 25 02.8          18.6 VZ     Q20
