NUM,DESIGNATION,DYN,BD,BD.E,BD.R,RNK,DIAM,D.E,D.R,MASS,M.E,M.R,G,T.T,T.B,L.T,L.B,T.D,C_TAX,C_BD,C_BD.E,C_BD.R,C_RNK
,10P/Tempel 2,COM,0.76,0.46,61,D,9.6,1.4,14,3.50e+14,1.50e+14,43,-,-,-,-,-,-,-,0.75,0.46,61,D
,1999 OJ4,TNO,0.34,0.35,104,E,130.0,45.0,35,3.91e+17,2.20e+16,6,-,-,-,-,-,-,-,0.33,0.35,106,E
,19P/Borrely,COM,0.05,0.04,82,X,4.8,0.4,8,2.70e+12,2.10e+12,78,-,-,-,-,-,-,-,0.12,0.09,75,X
,1P/Halley,COM,0.54,0.38,69,D,10.4,2.0,19,3.20e+14,1.20e+14,38,-,-,-,-,-,-,-,0.54,0.37,69,D
,2000 QL251,TNO,1.76,1.76,100,E,150.0,50.0,33,3.11e+18,5.10e+16,2,-,-,-,-,-,-,-,1.75,1.76,101,E
,2001 QC298,TNO,1.42,0.96,68,D,244.0,55.0,23,1.08e+19,7.00e+17,6,-,-,-,-,-,-,-,1.41,0.96,68,D
,2003 QY90,TNO,0.57,0.72,127,E,150.0,50.0,33,1.01e+18,7.85e+17,78,-,-,-,-,-,-,-,0.57,0.72,126,E
,2003 TJ58,TNO,1.02,1.02,100,E,75.0,25.0,33,2.25e+17,1.50e+16,7,-,-,-,-,-,-,-,1.01,1.02,101,E
,2004 PB108,TNO,6.74,7.23,107,E,140.0,50.0,36,9.68e+18,5.70e+17,6,-,-,-,-,-,-,-,6.73,7.22,107,E
,22P/Kopff,COM,0.22,0.12,53,D,3.6,0.4,11,5.30e+12,2.20e+12,42,-,-,-,-,-,-,-,0.21,0.11,52,D
,2P/Encke,COM,1.71,1.39,82,D,4.7,0.8,17,9.20e+13,5.80e+13,63,-,-,-,-,-,-,-,1.67,1.36,81,D
,45P/H-M-P,COM,1.26,2.59,205,E,0.7,0.2,30,1.90e+11,3.50e+11,184,-,-,-,-,-,-,-,1.26,2.59,206,E
,46P/Wirtanen,COM,0.41,0.30,71,D,1.1,0.1,5,3.30e+11,2.30e+11,70,-,-,-,-,-,-,-,0.4,0.28,70,D
,67P/C-G,COM,0.54,0.00,0,A,3.3,0.0,0,9.97e+12,1.50e+08,0,-,-,-,-,-,-,-,0.43,0.37,86,D
,6P/dArrest,COM,1.09,0.49,45,C,1.7,0.2,12,2.80e+12,8.00e+11,29,-,-,-,-,-,-,-,1.08,0.49,45,C
,81P/Wild 2,COM,1.44,0.89,62,D,2.2,0.4,20,8.10e+12,8.10e+11,10,-,-,-,-,-,-,-,0.7,0.1,14,B
,9P/Tempel 1,COM,0.45,0.23,50,C,5.6,0.5,8,4.21e+13,1.81e+13,43,-,-,-,-,-,-,-,0.48,0.06,12,B
,SL9,COM,0.51,0.16,32,C,1.8,0.2,10,1.53e+12,1.53e+11,10,-,-,-,-,-,-,-,0.5,0.05,10,B
1,Ceres,MBA,2.16,0.00,0,A,939.4,0.2,0,9.38e+20,2.11e+16,0,Y,G,C,C,C,C,C,2.13,0.15,7,A
2,Pallas,MBA,2.77,0.21,8,A,520.8,12.8,2,2.05e+20,4.48e+18,2,Y,B,B,-,-,B,B,2.86,0.32,11,A
3,Juno,MBA,3.16,0.44,14,B,251.6,9.0,4,2.63e+19,2.37e+18,9,Y,S,Sk,S,Sk,Sq,Sq,3.68,0.62,17,A
4,Vesta,MBA,3.41,0.00,0,A,525.4,0.2,0,2.59e+20,1.76e+17,0,Y,V,V,-,-,V,V,3.58,0.15,4,A
5,Astraea,MBA,3.62,0.62,17,B,115.6,3.4,3,2.93e+18,4.30e+17,15,-,S,S,-,-,S,S,3.45,0.66,19,B
6,Hebe,MBA,3.60,0.85,24,C,189.5,8.3,4,1.28e+19,2.51e+18,20,Y,S,S,-,-,-,S,3.81,0.5,13,A
7,Iris,MBA,3.18,0.80,25,C,203.8,12.4,6,1.41e+19,2.41e+18,17,Y,S,S,-,-,S,S,2.14,0.81,38,C
8,Flora,MBA,2.67,0.26,10,B,140.1,2.3,2,3.84e+18,3.29e+17,9,Y,S,-,-,-,Sw,S,6.5,1.28,20,X
9,Metis,MBA,3.16,0.69,22,C,169.5,7.2,4,8.06e+18,1.44e+18,18,Y,S,-,T,T,-,S,3.6,0.87,24,C
10,Hygiea,MBA,2.07,0.26,12,A,427.0,15.7,4,8.42e+19,4.91e+18,6,Y,C,C,-,-,C,C,2.19,0.42,19,A
11,Parthenope,MBA,2.78,0.25,9,A,153.7,2.6,2,5.28e+18,4.00e+17,8,Y,S,Sk,-,-,Sq,Sq,3.27,0.41,13,A
12,Victoria,MBA,2.32,0.66,28,C,124.1,8.2,7,2.32e+18,4.75e+17,20,Y,S,L,D,D,-,L,2.45,0.67,27,C
13,Egeria,MBA,1.73,0.84,49,C,211.2,10.1,5,8.55e+18,3.98e+18,47,Y,G,Ch,-,-,Ch,Ch,1.7,0.86,51,D
14,Irene,MBA,3.00,0.80,27,C,147.5,5.2,4,5.04e+18,1.24e+18,25,Y,S,S,-,-,S,S,1.72,1.12,65,D
15,Eunomia,MBA,3.48,0.45,13,B,259.0,10.7,4,3.16e+19,1.25e+18,4,Y,S,S,-,-,K,K,3.54,0.2,6,B
16,Psyche,MBA,3.90,0.29,7,A,223.7,1.9,1,2.29e+19,1.60e+18,7,Y,M,X,-,-,Xk,Xk,3.38,1.16,34,C
17,Thetis,MBA,2.88,0.77,27,C,88.9,6.7,8,1.06e+18,1.55e+17,15,-,S,Sl,-,-,S,S,4.48,1.48,33,C
18,Melpomene,MBA,2.86,0.53,18,A,141.6,3.7,3,4.26e+18,7.06e+17,17,-,S,S,-,-,S,S,2.15,0.88,41,C
19,Fortuna,MBA,1.86,0.29,16,A,208.8,4.1,2,8.88e+18,1.29e+18,15,Y,G,Ch,-,-,Ch,Ch,1.85,0.35,19,A
20,Massalia,MBA,2.87,0.46,16,B,151.2,5.0,3,5.19e+18,6.44e+17,12,Y,S,S,-,-,S,S,3.71,1.05,28,C
21,Lutetia,MBA,3.45,0.53,15,A,98.0,5.0,5,1.70e+18,1.40e+16,1,-,M,Xk,X,X,Xc,Xk,3.44,0.52,15,A
22,Kalliope,MBA,3.01,0.45,15,A,170.5,8.0,5,7.81e+18,4.23e+17,5,-,M,X,-,-,X,X,3.08,0.58,19,B
23,Thalia,MBA,3.32,0.72,22,C,106.4,2.0,2,2.10e+18,4.36e+17,21,-,S,S,S,S,-,S,3.07,0.31,10,B
24,Themis,MBA,1.63,0.40,25,C,183.8,11.4,6,5.31e+18,8.48e+17,16,Y,C,B,B,C,C,C,1.81,0.67,37,C
25,Phocaea,MBA,2.33,0.64,28,C,81.1,4.2,5,6.51e+17,1.48e+17,23,-,S,S,S,Sa,S,S,2.21,0.44,20,C
26,Proserpina,MBA,1.69,0.86,51,D,89.5,3.6,4,6.36e+17,3.14e+17,49,-,S,S,-,-,S,S,1.98,2.38,120,E
27,Euterpe,MBA,3.78,1.98,52,D,110.3,2.0,2,2.66e+18,1.38e+18,52,Y,S,S,S,L,S,S,2.69,1.71,64,D
28,Bellona,MBA,3.27,1.13,35,C,115.0,10.5,9,2.60e+18,5.52e+17,21,-,S,S,-,-,S,S,3.95,1.28,32,C
29,Amphitrite,MBA,2.47,0.49,20,A,217.2,11.2,5,1.33e+19,1.65e+18,12,Y,S,S,S,L,S,S,2.38,0.51,21,C
30,Urania,MBA,3.33,0.54,16,B,100.0,1.7,2,1.74e+18,2.67e+17,15,-,S,Sl,-,-,S,S,3.92,1.29,33,C
31,Euphrosyne,MBA,1.39,0.55,40,C,273.5,13.6,5,1.49e+19,5.47e+18,37,Y,C,Cb,-,-,-,C,1.18,0.61,52,D
32,Pomona,MBA,2.50,1.20,48,C,81.6,3.1,4,7.13e+17,3.33e+17,47,-,S,S,-,-,Sw,-,-,-,-,-
33,Polyhymnia,MBA,75.32,9.72,13,X,54.0,0.9,2,6.20e+18,7.36e+17,12,-,S,Sq,S,S,S,S,75.28,9.71,13,X
34,Circe,MBA,4.63,1.21,26,C,113.5,4.0,4,3.54e+18,8.48e+17,24,-,C,Ch,-,-,Ch,Ch,4.83,0.63,13,X
35,Leukothea,MBA,1.96,0.91,46,C,103.0,2.4,2,1.12e+18,5.13e+17,46,-,C,C,-,-,-,-,-,-,-,-
36,Atalante,MBA,2.92,1.32,45,C,108.9,3.5,3,1.97e+18,8.69e+17,44,-,C,-,-,-,-,C,6.17,5.48,89,E
37,Fides,MBA,2.62,0.83,32,C,112.3,5.6,5,1.95e+18,5.43e+17,28,-,S,S,S,K,S,-,-,-,-,-
38,Leda,MBA,1.18,1.46,123,E,115.6,1.4,1,9.57e+17,1.18e+18,123,-,C,Cgh,-,-,Cgh,Cgh,7.09,6.79,96,E
39,Laetitia,MBA,2.32,0.65,28,C,160.2,5.1,3,5.00e+18,1.32e+18,27,-,S,S,-,-,Sqw,S,2.47,0.63,26,C
40,Harmonia,MBA,3.69,1.04,28,C,120.0,6.1,5,3.34e+18,7.92e+17,24,-,S,S,-,-,S,-,-,-,-,-
41,Daphne,MBA,1.97,0.29,15,B,181.3,7.7,4,6.14e+18,4.64e+17,8,-,C,Ch,-,-,Ch,Ch,2.03,0.32,16,B
42,Isis,MBA,2.43,0.81,33,C,103.5,2.0,2,1.41e+18,4.65e+17,33,Y,S,L,-,-,K,S,2.78,0.93,33,C
43,Ariadne,MBA,5.54,2.84,51,D,65.5,3.4,5,8.14e+17,3.96e+17,49,-,S,Sk,S,S,Sq,Sq,8.99,2.57,29,X
44,Nysa,MBA,2.20,1.10,50,C,73.5,2.2,3,4.58e+17,2.25e+17,49,-,E,Xc,-,-,-,-,-,-,-,-
45,Eugenia,MBA,1.37,0.22,16,A,207.0,8.3,4,6.37e+18,6.69e+17,11,-,FC,C,-,-,-,C,1.34,0.29,22,C
46,Hestia,MBA,1.65,1.81,110,E,125.9,5.2,4,1.72e+18,1.88e+18,109,-,P,Xc,-,-,-,Xc,5.81,0.87,15,E
47,Aglaja,MBA,1.30,1.06,81,D,140.2,6.8,5,1.87e+18,1.50e+18,80,-,C,B,B,B,-,B,2.17,1.19,55,D
48,Doris,MBA,1.24,0.38,30,C,223.4,6.7,3,7.22e+18,2.10e+18,29,Y,CG,Ch,-,-,Ch,Ch,1.23,0.62,50,D
49,Pales,MBA,1.70,0.95,56,D,150.2,3.2,2,3.02e+18,1.67e+18,55,-,CG,Ch,-,-,Ch,Ch,2.35,1.21,51,D
50,Virginia,MBA,1.57,0.73,47,C,99.6,3.2,3,8.14e+17,3.71e+17,46,-,X,Ch,Caa,Ch,Ch,Ch,4.49,1.35,30,E
51,Nemausa,MBA,1.71,0.46,27,C,147.0,3.2,2,2.85e+18,7.43e+17,26,Y,CU,Ch,-,-,Cgh,Ch,1.43,0.5,35,C
52,Europa,MBA,1.50,0.31,21,C,309.6,13.3,4,2.34e+19,3.77e+18,16,Y,CF,C,-,-,C,C,1.52,0.39,26,C
53,Kalypso,MBA,1.49,0.46,31,C,115.9,3.3,3,1.22e+18,3.64e+17,30,-,XC,-,-,-,-,C,8.28,7.54,91,X
