# Mars Pathfinder Ranging Data
#
# These represent a round-trip light time for each range measurement
# by the NASA Deep Space Network to the Mars Pathfinder lander.
#
# A calibration for the tropospheric and ionospheric path delay
# at the DSN stations has been applied based on calibration
# data specific to the time of each measurement.
#
# No calibration or model for solar plasma has been applied.
# The measurements are all at X-band, with Earth-to-spacecraft signals sent
# at ~7.2GHz, and spacecraft-to-Earth signals sent at ~8.4 GHz.
#
# The spacecraft transponder delay of ~420 has NOT been removed from these measurements,
# so should be applied or estimated by the user.
#
# The table columns are;
#   Column 1 is a spacecraft identifier (1 for VL1, 2 for VL2, 3 for MPF, 4 for MGS, 5 for ODY, 6 for MRO)
#   Column 2 is the DSN transmitting station ID
#   Column 3 is the DSN receiving station ID
#   Column 4-6 are the UTC date at station reception
#   Column 7 is the UTC time at station reception
#   Column 8 is the adjusted round-trip light time in microseconds
#               from the DSN station to the lander and back
#   Column 9 is the estimated measurement accuracy in microseconds
#
 3 15 15 1997 JUL  6 03:32:03   1287957826.329   .067
 3 15 15 1997 JUL  6 03:45:34   1288025662.239   .067
 3 65 65 1997 JUL 22 15:31:50   1400147816.478   .067
 3 65 65 1997 JUL 25 18:03:31   1420414209.718   .067
 3 65 65 1997 JUL 25 18:17:02   1420476556.473   .067
 3 65 65 1997 JUL 25 18:30:33   1420539021.078   .067
 3 65 65 1997 AUG 28 13:37:06   1622375089.657   .069
 3 65 65 1997 AUG 28 13:48:13   1622416889.138   .069
 3 65 65 1997 AUG 28 13:59:20   1622458776.322   .069
 3 65 65 1997 AUG 28 14:10:27   1622500751.997   .068
 3 65 65 1997 AUG 28 14:21:34   1622542816.635   .068
 3 65 65 1997 AUG 28 14:32:41   1622584970.636   .068
 3 65 65 1997 AUG 28 14:43:48   1622627214.073   .068
 3 65 65 1997 AUG 29 13:49:17   1627866640.961   .069
 3 65 65 1997 AUG 29 13:55:40   1627890488.777   .137
 3 65 65 1997 AUG 29 14:02:03   1627914367.343   .137
 3 65 65 1997 AUG 29 14:08:26   1627938276.859   .137
 3 65 65 1997 AUG 29 14:14:49   1627962217.483   .137
 3 65 65 1997 AUG 29 14:21:12   1627986189.363   .136
 3 65 65 1997 AUG 29 14:27:35   1628010192.596   .136
 3 65 65 1997 AUG 29 14:33:58   1628034227.200   .136
 3 65 65 1997 AUG 29 14:40:21   1628058293.295   .136
 3 65 65 1997 AUG 30 13:26:00   1633197277.391   .140
 3 65 65 1997 AUG 30 13:32:23   1633220801.954   .139
 3 65 65 1997 AUG 30 13:38:46   1633244357.613   .138
 3 65 65 1997 AUG 30 13:45:09   1633267944.671   .138
 3 65 65 1997 AUG 30 13:51:32   1633291563.497   .138
 3 65 65 1997 AUG 30 13:57:55   1633315214.140   .137
 3 65 65 1997 AUG 30 14:04:18   1633338897.090   .137
 3 65 65 1997 SEP  1 14:40:42   1644216379.326   .136
 3 65 65 1997 SEP  1 14:47:05   1644239861.449   .136
 3 65 65 1997 SEP  1 14:53:28   1644263379.295   .136
 3 65 65 1997 SEP  1 14:59:51   1644286932.965   .136
 3 65 65 1997 SEP  1 15:06:14   1644310522.584   .136
 3 65 65 1997 SEP  1 15:12:37   1644334148.178   .135
 3 65 65 1997 SEP  1 15:19:00   1644357809.898   .135
 3 65 65 1997 SEP  3 18:04:51   1655595256.805   .136
 3 65 65 1997 SEP  3 18:11:14   1655619451.126   .136
 3 65 65 1997 SEP  3 18:17:37   1655643676.209   .136
 3 65 65 1997 SEP  3 18:24:00   1655667931.336   .137
 3 65 65 1997 SEP  3 18:30:23   1655692215.981   .137
 3 65 65 1997 SEP  3 18:36:46   1655716529.392   .137
 3 65 65 1997 SEP  4 17:51:12   1660804477.266   .136
 3 65 65 1997 SEP  4 17:57:35   1660828401.153   .136
 3 65 65 1997 SEP  4 18:03:58   1660852358.573   .136
 3 65 65 1997 SEP  4 18:10:21   1660876349.074   .136
 3 65 65 1997 SEP  4 18:16:44   1660900372.055   .137
 3 65 65 1997 SEP  4 18:23:07   1660924426.915   .137
 3 65 65 1997 SEP  4 18:29:30   1660948513.099   .137
 3 65 65 1997 SEP  4 18:35:53   1660972629.930   .137
 3 65 65 1997 SEP  4 18:42:16   1660996776.772   .137
 3 65 65 1997 SEP  4 18:48:39   1661020952.976   .138
 3 65 65 1997 SEP  4 18:55:02   1661045157.841   .138
 3 65 65 1997 SEP  4 19:01:25   1661069390.634   .139
 3 65 65 1997 SEP  4 19:07:48   1661093650.625   .139
 3 65 65 1997 SEP  4 19:14:11   1661117937.020   .140
 3 65 65 1997 SEP  6 19:02:50   1671502314.901   .139
 3 65 65 1997 SEP  6 19:09:13   1671526179.150   .140
 3 65 65 1997 SEP  6 19:15:36   1671550072.930   .140
 3 65 65 1997 SEP  6 19:21:59   1671573995.520   .141
 3 65 65 1997 SEP  6 19:28:22   1671597946.221   .142
 3 65 65 1997 SEP  6 19:34:45   1671621924.306   .143
 3 65 65 1997 SEP  6 19:41:08   1671645929.024   .145
 3 65 65 1997 SEP  6 19:47:31   1671669959.535   .147
 3 65 65 1997 SEP  7 18:36:40   1676574760.981   .138
 3 65 65 1997 SEP  7 18:43:03   1676598278.860   .138
 3 65 65 1997 SEP  7 18:49:26   1676621829.701   .138
 3 65 65 1997 SEP  7 18:55:49   1676645412.980   .139
 3 65 65 1997 SEP  7 19:02:12   1676669028.156   .139
 3 65 65 1997 SEP  7 19:08:35   1676692674.603   .140
 3 65 65 1997 SEP  7 19:14:58   1676716351.759   .141
 3 65 65 1997 SEP  7 19:21:21   1676740058.950   .141
 3 34 34 1997 SEP 22 02:52:26   1747577487.662   .133
 3 34 34 1997 SEP 22 02:58:49   1747597980.560   .133
 3 34 34 1997 SEP 22 03:05:12   1747618507.154   .133
 3 34 34 1997 SEP 22 03:11:35   1747639067.905   .133
 3 34 34 1997 SEP 22 03:17:58   1747659663.255   .133
 3 34 34 1997 SEP 22 03:24:21   1747680293.575   .133
 3 34 34 1997 SEP 22 03:30:44   1747700959.242   .133
 3 34 34 1997 SEP 25 04:32:04   1762066075.012   .133
 3 34 34 1997 SEP 25 04:38:27   1762086531.075   .133
 3 34 34 1997 SEP 25 04:44:50   1762107026.200   .133
 3 34 34 1997 SEP 25 04:51:13   1762127560.607   .133
 3 34 34 1997 SEP 25 04:57:36   1762148134.380   .133
 3 34 34 1997 SEP 25 05:03:59   1762168747.811   .133
 3 34 34 1997 SEP 25 05:10:22   1762189400.900   .133
 3 34 34 1997 SEP 25 05:16:45   1762210093.781   .133
 3 34 34 1997 SEP 25 05:23:08   1762230826.514   .133
 3 34 34 1997 SEP 25 05:29:31   1762251599.112   .133
 3 34 34 1997 SEP 25 05:35:54   1762272411.593   .133
