# Viking lander range data
#
# These represent a round-trip light time for each range measurement
# by the NASA Deep Space Network to Viking Lander 1 and Viking Lander 2.
#
# Range measurements were made at S-band (signal from Earth-to-lander at ~2.1 GHz
# and signal from lander-to-Earth at ~2.3GHz). During the first few years of the
# lander data set, range measurements to Viking Orbiters were also made,
# with a dual-frequency downlink (~2.3 GHz and ~8.4GHz from spacecraft-to-Earth).
# This dual-frequency measurement was used to correct the solar plasam effect on
# the Viking Lander range data. After dual-frequency range data from the orbiters
# was no longer available, it appears some model solar plasma delay correction
# was applied to the lander range data. The details of the plasma calibration
# are no longer available.
#
# In addition to the solar plasma calibration, a model Earth
# troposphere has been removed, so no troposphere model
# should be used in the solution software.
#
# The table columns are;
#   Column 1 is a spacecraft identifier (1 for VL1, 2 for VL2, 3 for MPF, 4 for MGS, 5 for ODY, 6 for MRO)
#   Column 2 is the DSN transmitting station ID
#   Column 3 is the DSN receiving station ID
#   Column 4-6 are the UTC date at station reception
#   Column 7 is the UTC time at station reception
#   Column 8 is the adjusted round-trip light time in microseconds
#               from the DSN station to the lander and back
#   Column 9 is the estimated measurement accuracy in microseconds
#
 1 43 43 1976 JUL 21 07:58:52   2285395397.612   .047
 1 43 43 1976 JUL 21 08:02:02   2285407215.386   .048
 1 43 43 1976 JUL 21 08:05:12   2285419041.021   .048
 1 43 43 1976 JUL 22 06:02:32   2290150246.895   .047
 1 43 43 1976 JUL 22 06:05:42   2290161581.112   .047
 1 43 43 1976 JUL 22 06:08:52   2290172924.498   .047
 1 63 63 1976 AUG  8 18:04:02   2371564782.809   .047
 1 43 43 1976 AUG 25 05:38:02   2432289800.761   .047
 1 43 43 1976 AUG 28 06:51:02   2441824322.127   .047
 1 43 43 1976 AUG 30 07:37:52   2447874755.745   .048
 1 63 63 1976 SEP  1 11:57:12   2454083632.061   .047
 1 63 63 1976 SEP  2 10:52:12   2456724680.920   .048
 2 43 43 1976 SEP  5 03:43:22   2463889944.918   .047
 2 43 43 1976 SEP  5 03:46:32   2463895712.154   .047
 2 43 43 1976 SEP  5 03:49:42   2463901487.553   .047
 2 43 43 1976 SEP  6 04:23:02   2466510771.994   .047
 2 43 43 1976 SEP  6 04:26:12   2466516497.886   .047
 2 43 43 1976 SEP  6 04:29:22   2466522231.941   .047
 2 43 43 1976 SEP  8 04:40:42   2471470606.844   .047
 2 43 43 1976 SEP  8 04:43:52   2471476087.151   .047
 2 43 43 1976 SEP  8 04:47:02   2471481575.943   .047
 2 43 43 1976 SEP  8 04:50:12   2471487073.127   .047
 2 43 43 1976 SEP  8 04:53:22   2471492578.666   .047
 2 43 43 1976 SEP  8 04:56:32   2471498092.462   .047
 2 43 43 1976 SEP  8 04:59:42   2471503614.567   .047
 2 43 43 1976 SEP 13 07:18:12   2483073239.936   .047
 2 43 43 1976 SEP 13 07:21:22   2483078348.207   .047
 2 43 43 1976 SEP 13 07:24:32   2483083462.425   .047
 2 63 63 1976 SEP 23 14:29:12   2502038287.655   .047
 2 63 63 1976 SEP 23 14:32:22   2502041863.000   .047
 1 43 43 1976 SEP 27 01:09:32   2507048314.281   .047
 2 63 63 1976 OCT  1 15:29:02   2512716622.416   .047
 2 63 63 1976 OCT  1 15:32:12   2512719142.977   .047
 2 14 14 1976 OCT  5 19:38:02   2516853846.837   .047
