x, y, z, area, material
1.0, 0.0, 0.0, 0.58361, MLI
1.0, 0.0, 0.0, 0.05471, Silver_Teflon
-1.0, 0.0, 0.0, 0.47691, MLI
-1.0, 0.0, 0.0, 0.16141, Aluminum_Foil
0.0, 1.0, 0.0, 0.64756, MLI
0.0, -1.0, 0.0, 1.163938, MLI
0.0, 1.0, 0.0, 0.37742, Z-93C55
0.0, 1.0, 0.0, 1.38962, Z-93C55
0.0, 0.0, 1.0, 0.45064, MLI
0.0, 0.0, 1.0, 0.022581, Silver_Teflon
0.0, 0.0, 1.0, 0.10081, Beta_Alumina_Coating
0.0, 0.0, 1.0, 0.1089, Z-93C55
0.0, 0.0, -1.0, 0.4719, MLI
0.0, 0.0, -1.0, 0.15903, Z-93C55
0.0, 0.0, -1.0, 0.052, Silver_Teflon
-1.0, 0.0, 0.0, 3.8732, Solar_Cells
1.0, 0.0, 0.0, 3.8732, M55J
-1.0, 0.0, 0.0, 0.94782, Z-93C55
1.0, 0.0, 0.0, 0.94782, MLI
